"ID","name","level0","level1","level2","level23","level3","zoning"
"BE323","Arr. Mons",0,0,0,0,1,"UE27"
"BE324","Arr. Mouscron",0,0,0,0,1,"UE27"
"BE325","Arr. Soignies",0,0,0,0,1,"UE27"
"BE326","Arr. Thuin",0,0,0,0,1,"UE27"
"BE327","Arr. Tournai",0,0,0,0,1,"UE27"
"BE331","Arr. Huy",0,0,0,0,1,"UE27"
"BE332","Arr. Liège",0,0,0,0,1,"UE27"
"BE334","Arr. Waremme",0,0,0,0,1,"UE27"
"BE335","Arr. Verviers - communes francophones",0,0,0,0,1,"UE27"
"BE336","Bezirk Verviers - Deutschsprachige Gemeinschaft",0,0,0,0,1,"UE27"
"BE341","Arr. Arlon",0,0,0,0,1,"UE27"
"BE342","Arr. Bastogne",0,0,0,0,1,"UE27"
"BE343","Arr. Marche-en-Famenne",0,0,0,0,1,"UE27"
"BE344","Arr. Neufchâteau",0,0,0,0,1,"UE27"
"BE345","Arr. Virton",0,0,0,0,1,"UE27"
"BE351","Arr. Dinant",0,0,0,0,1,"UE27"
"BE352","Arr. Namur",0,0,0,0,1,"UE27"
"BE353","Arr. Philippeville",0,0,0,0,1,"UE27"
"BG311","Vidin",0,0,0,1,1,"UE27"
"BG312","Montana",0,0,0,1,1,"UE27"
"BG313","Vratsa",0,0,0,1,1,"UE27"
"BG314","Pleven",0,0,0,1,1,"UE27"
"BG315","Lovech",0,0,0,1,1,"UE27"
"BG321","Veliko Tarnovo",0,0,0,1,1,"UE27"
"BG322","Gabrovo",0,0,0,1,1,"UE27"
"BG323","Ruse",0,0,0,1,1,"UE27"
"BG324","Razgrad",0,0,0,1,1,"UE27"
"BG325","Silistra",0,0,0,1,1,"UE27"
"BG331","Varna",0,0,0,1,1,"UE27"
"BG332","Dobrich",0,0,0,1,1,"UE27"
"BG333","Shumen",0,0,0,1,1,"UE27"
"BG334","Targovishte",0,0,0,1,1,"UE27"
"BG341","Burgas",0,0,0,1,1,"UE27"
"BG342","Sliven",0,0,0,1,1,"UE27"
"BG343","Yambol",0,0,0,1,1,"UE27"
"BG344","Stara Zagora",0,0,0,1,1,"UE27"
"BG411","Sofia (stolitsa)",0,0,0,1,1,"UE27"
"BG412","Sofia",0,0,0,1,1,"UE27"
"BG413","Blagoevgrad",0,0,0,1,1,"UE27"
"BG414","Pernik",0,0,0,1,1,"UE27"
"BG415","Kyustendil",0,0,0,1,1,"UE27"
"BG421","Plovdiv",0,0,0,1,1,"UE27"
"BG422","Haskovo",0,0,0,1,1,"UE27"
"BG423","Pazardzhik",0,0,0,1,1,"UE27"
"BG424","Smolyan",0,0,0,1,1,"UE27"
"BG425","Kardzhali",0,0,0,1,1,"UE27"
"CH011","Vaud",0,0,0,0,1,"EFTA"
"CH012","Valais",0,0,0,0,1,"EFTA"
"CH013","Genève",0,0,0,0,1,"EFTA"
"CH021","Bern",0,0,0,0,1,"EFTA"
"CH022","Freiburg",0,0,0,0,1,"EFTA"
"CH023","Solothum",0,0,0,0,1,"EFTA"
"CH024","Neuchâtel",0,0,0,0,1,"EFTA"
"CH025","Jura",0,0,0,0,1,"EFTA"
"CH031","Basel-Stadt",0,0,0,0,1,"EFTA"
"CH032","Basel-Landschaft",0,0,0,0,1,"EFTA"
"CH033","Aargau",0,0,0,0,1,"EFTA"
"CH040","Zürich",0,0,0,0,1,"EFTA"
"CH051","Glarus",0,0,0,0,1,"EFTA"
"CH052","Schaffhausen",0,0,0,0,1,"EFTA"
"CH053","Appenzell Ausserrhoden",0,0,0,0,1,"EFTA"
"CH054","Appenzell Innerrhoden",0,0,0,0,1,"EFTA"
"CH055","St. Gallen",0,0,0,0,1,"EFTA"
"CH056","Graubünden",0,0,0,0,1,"EFTA"
"CH057","Thurgau",0,0,0,0,1,"EFTA"
"CH061","Luzern",0,0,0,0,1,"EFTA"
"CH062","Uri",0,0,0,0,1,"EFTA"
"CH063","Schwyz",0,0,0,0,1,"EFTA"
"CH064","Obwalden",0,0,0,0,1,"EFTA"
"CH065","Nidwalden",0,0,0,0,1,"EFTA"
"CH066","Zug",0,0,0,0,1,"EFTA"
"CH070","Ticino",0,0,0,0,1,"EFTA"
"CY000","Chypre",0,0,0,1,1,"UE27"
"CZ010","Hlavní mesto Praha",0,0,0,1,1,"UE27"
"CZ020","Stredoceský",0,0,0,1,1,"UE27"
"CZ031","Jihocecký",0,0,0,1,1,"UE27"
