"id","NUTS","pct"
"50kmX2975Y2275","ES419","10,524571"
"50kmX2975Y2325","ES112","0,086121"
"50kmX2975Y2325","ES413","16,068027"
"50kmX2975Y2375","ES112","2,863313"
"50kmX2975Y2375","ES120","18,014677"
"50kmX2975Y2375","ES413","1,632525"
"50kmX2975Y2425","ES112","1,190658"
"50kmX2975Y2425","ES120","11,667497"
"50kmX2975Y3325","IE025","3,692435"
"50kmX2975Y3375","IE025","15,259134"
"50kmX2975Y3425","IE025","10,09014"
"50kmX2975Y3475","IE025","0,01913"
"50kmX2975Y4775","IS002","1,331533"
"50kmX2975Y4825","IS002","2,351012"
"50kmX2975Y4875","IS002","2,351012"
"50kmX2975Y4925","IS002","2,351012"
"50kmX2975Y4975","IS002","2,351012"
"50kmX2975Y5025","IS002","1,871812"
"50kmX2975Y5075","IS002","0,175374"
"50kmX3025Y1625","ES617","14,204912"
"50kmX3025Y1675","ES613","0,854626"
"50kmX3025Y1675","ES617","29,276469"
"50kmX3025Y1675","ES618","0,683931"
"50kmX3025Y1725","ES613","14,715621"
"50kmX3025Y1725","ES617","0,026602"
"50kmX3025Y1725","ES618","3,745045"
"50kmX3025Y1775","ES613","18,413557"
"50kmX3025Y1775","ES618","0,001065"
"50kmX3025Y1825","ES422","1,129179"
"50kmX3025Y1825","ES613","16,677651"
"50kmX3025Y1875","ES422","4,646287"
"50kmX3025Y1875","ES431","5,796432"
"50kmX3025Y1875","ES613","1,751613"
"50kmX3025Y1925","ES422","0,053656"
"50kmX3025Y1925","ES425","1,866437"
"50kmX3025Y1925","ES431","7,976589"
"50kmX3025Y1925","ES432","2,058462"
"50kmX3025Y1975","ES425","9,73433"
"50kmX3025Y1975","ES432","4,562739"
"50kmX3025Y2025","ES411","12,740568"
"50kmX3025Y2025","ES425","4,100011"
"50kmX3025Y2025","ES432","3,803425"
"50kmX3025Y2075","ES411","15,452038"
"50kmX3025Y2075","ES415","9,94603"
"50kmX3025Y2125","ES415","18,269735"
"50kmX3025Y2125","ES418","0,000075"
"50kmX3025Y2125","ES419","2,81487"
"50kmX3025Y2175","ES415","0,286425"
"50kmX3025Y2175","ES419","22,313784"
"50kmX3025Y2225","ES413","0,537983"
"50kmX3025Y2225","ES419","21,869564"
"50kmX3025Y2275","ES413","14,530497"
"50kmX3025Y2275","ES419","2,238224"
"50kmX3025Y2325","ES120","0,267128"
"50kmX3025Y2325","ES413","15,939404"
"50kmX3025Y2375","ES120","20,190084"
"50kmX3025Y2375","ES413","2,03595"
"50kmX3025Y2425","ES120","9,280391"
"50kmX3025Y3325","IE025","7,17197"
"50kmX3025Y3375","IE025","17,776138"
"50kmX3025Y3425","IE023","5,590573"
"50kmX3025Y3425","IE025","14,602546"
"50kmX3025Y3475","IE023","14,913071"
"50kmX3025Y3475","IE025","1,002241"
"50kmX3025Y3525","IE013","5,209422"
"50kmX3025Y3525","IE023","0,147266"
"50kmX3025Y3575","IE013","7,799966"
"50kmX3025Y3625","IE013","5,314455"
"50kmX3025Y4775","IS002","1,089615"
"50kmX3025Y4825","IS002","2,351012"
"50kmX3025Y4875","IS002","2,351012"
"50kmX3025Y4925","IS002","2,351012"
"50kmX3025Y4975","IS002","2,351012"
"50kmX3025Y5025","IS002","2,351012"
"50kmX3025Y5075","IS002","0,392617"
"50kmX3075Y1625","ES614","1,603121"
"50kmX3075Y1625","ES617","9,518438"
"50kmX3075Y1675","ES613","0,890694"
"50kmX3075Y1675","ES614","15,836983"
"50kmX3075Y1675","ES616","0,020077"
"50kmX3075Y1675","ES617","4,70672"
"50kmX3075Y1725","ES613","8,348247"
"50kmX3075Y1725","ES614","0,557539"
"50kmX3075Y1725","ES616","10,027012"
"50kmX3075Y1775","ES613","9,428789"
"50kmX3075Y1775","ES616","9,438915"
"50kmX3075Y1825","ES422","8,758069"
"50kmX3075Y1825","ES613","3,492068"
"50kmX3075Y1825","ES616","1,523631"
"50kmX3075Y1875","ES422","11,971189"
"50kmX3075Y1925","ES422","8,069578"
"50kmX3075Y1925","ES425","3,795912"
"50kmX3075Y1925","ES431","0,844148"
"50kmX3075Y1975","ES425","15,143661"
"50kmX3075Y2025","ES300","0,783131"
"50kmX3075Y2025","ES411","16,825763"
"50kmX3075Y2025","ES425","6,126394"
"50kmX3075Y2075","ES411","29,392938"
"50kmX3075Y2075","ES415","0,094099"
"50kmX3075Y2125","ES411","12,390044"
"50kmX3075Y2125","ES415","3,494264"
"50kmX3075Y2125","ES416","0,579475"
"50kmX3075Y2125","ES418","11,95747"
"50kmX3075Y2125","ES419","0,018423"
"50kmX3075Y2175","ES418","27,559717"
"50kmX3075Y2175","ES419","2,074173"
"50kmX3075Y2225","ES413","0,611239"
"50kmX3075Y2225","ES414","3,418515"
"50kmX3075Y2225","ES418","20,697098"
"50kmX3075Y2225","ES419","3,816648"
"50kmX3075Y2275","ES413","13,979757"
"50kmX3075Y2275","ES414","1,210665"
"50kmX3075Y2275","ES418","2,842396"
"50kmX3075Y2325","ES120","1,08932"
"50kmX3075Y2325","ES413","15,365628"
"50kmX3075Y2375","ES120","22,412766"
"50kmX3075Y2375","ES413","0,01849"
"50kmX3075Y2425","ES120","3,2677"
"50kmX3075Y3325","IE025","3,766456"
"50kmX3075Y3375","IE025","17,776138"
"50kmX3075Y3425","IE023","22,055177"
"50kmX3075Y3425","IE024","0,357583"
"50kmX3075Y3425","IE025","5,00022"
"50kmX3075Y3475","IE013","2,270347"
"50kmX3075Y3475","IE023","27,127552"
"50kmX3075Y3525","IE013","14,451303"
"50kmX3075Y3525","IE023","0,760868"
"50kmX3075Y3575","IE013","16,893004"
"50kmX3075Y3625","IE011","0,772277"
"50kmX3075Y3625","IE013","11,058222"
"50kmX3075Y4775","IS002","0,835405"
"50kmX3075Y4825","IS002","2,351012"
"50kmX3075Y4875","IS002","2,351012"
"50kmX3075Y4925","IS002","2,351012"
"50kmX3075Y4975","IS002","2,351012"
"50kmX3075Y5025","IS002","1,971728"
"50kmX3075Y5075","IS002","0,009022"
"50kmX3125Y1475","ES640",100
"50kmX3125Y1625","ES614","11,263112"
"50kmX3125Y1675","ES614","19,718354"
"50kmX3125Y1725","ES614","4,382594"
"50kmX3125Y1725","ES616","15,043941"
"50kmX3125Y1775","ES422","0,065874"
"50kmX3125Y1775","ES616","19,236701"
"50kmX3125Y1825","ES422","11,443042"
"50kmX3125Y1825","ES616","0,853383"
